ciiu3_4c,ciiu3_letra,clae6,clae6_letra,propio,propio_letra,propio_letra_2,letra,desc
5121,G,462209,G,462209,G,G,G,Comercio al por mayor y al por menor
142,A,16210,A,142,A,A,A,"Agricultura, ganadería, caza y silvicultura"
142,A,16220,A,142,A,A,A,"Agricultura, ganadería, caza y silvicultura"
142,A,16230,A,142,A,A,A,"Agricultura, ganadería, caza y silvicultura"
142,A,16291,A,142,A,A,A,"Agricultura, ganadería, caza y silvicultura"
142,A,16292,A,142,A,A,A,"Agricultura, ganadería, caza y silvicultura"
142,A,16299,A,142,A,A,A,"Agricultura, ganadería, caza y silvicultura"
150,A,17010,A,150,A,A,A,"Agricultura, ganadería, caza y silvicultura"
150,A,17020,A,150,A,A,A,"Agricultura, ganadería, caza y silvicultura"
201,A,21010,A,201,A,A,A,"Agricultura, ganadería, caza y silvicultura"
201,A,21020,A,201,A,A,A,"Agricultura, ganadería, caza y silvicultura"
201,A,21030,A,201,A,A,A,"Agricultura, ganadería, caza y silvicultura"
202,A,22010,A,202,A,A,A,"Agricultura, ganadería, caza y silvicultura"
202,A,22020,A,202,A,A,A,"Agricultura, ganadería, caza y silvicultura"
203,A,24010,A,203,A,A,A,"Agricultura, ganadería, caza y silvicultura"
203,A,24020,A,203,A,A,A,"Agricultura, ganadería, caza y silvicultura"
501,B,31110,A,501,B,B,B,Pesca
501,B,31120,A,501,B,B,B,Pesca
501,B,31130,A,501,B,B,B,Pesca
501,B,31200,A,501,B,B,B,Pesca
503,B,31300,A,503,B,B,B,Pesca
502,B,32000,A,502,B,B,B,Pesca
1010,C,51000,B,1010,C,C,C,Explotación de minas y canteras
1110,C,61000,B,1110,C,C,C,Explotación de minas y canteras
1110,C,62000,B,1110,C,C,C,Explotación de minas y canteras
1310,C,71000,B,1310,C,C,C,Explotación de minas y canteras
1200,C,72100,B,1200,C,C,C,Explotación de minas y canteras
1320,C,72910,B,1320,C,C,C,Explotación de minas y canteras
1320,C,72990,B,1320,C,C,C,Explotación de minas y canteras
1411,C,81100,B,1411,C,C,C,Explotación de minas y canteras
