hs6_d12,A,B,C,CONS,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_29_30_31_32_33,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,E,F,G,H_551,H_552,I_60,I_61,I_62,I_63,I_64,J,K_70,K_71,K_72,K_73,K_74,K_99,L,M,N,O,P
37061000900W,0.0,0.0,0.0,348.5283333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0566666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1676.5099999999998,0.0,0.0,0.0,1045.585,0.0,0.0,1676.5099999999998,0.0
38249089990W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11947.91738388736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.132909759282878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371.9245459580447,0.004790977071189039,0.0,0.0,2102.81590007803,1084.837985168981,0.0,0.0,0.0,12.90648417123067,0.0,0.0
39091000200B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39172300900Y,10836.274351058795,0.0,3.6915804719218434e-05,1512816.4671158202,5.485911878938078e-05,0.0,2.6506687643759527e-06,0.0,0.0,2.61365287067269e-13,9.761870402384703e-07,0.0,0.0,3.5775083794924765,215138.1583023152,35.01750321984445,1.0315930544744685e-14,1.4047993338672828e-18,0.3703225161572581,0.0,0.0,0.0,3.2849700329649127e-16,0.0,3.7234377416852584e-14,1.0018623869157274e-15,1.058406175458903e-17,1.300225058370136e-15,16296.521779120561,1560636.636579285,873307.03762746,0.0,0.0,7.65243051634825e-07,0.0,1.7422290581303453e-16,1.7422290581303453e-16,0.0,0.0,7.593742339000524e-08,1.2217511033296395e-14,0.0,0.0,2170.934894876479,79.16391970517937,0.0,0.0,0.0,0.0,0.0
39172900990Z,24576.005886566614,1.805162503887911e-14,86.18008298582502,381396.016177853,35312.03533545594,0.0,2710.4428386524164,0.0,8.258772527616781e-20,0.0,311.0394224768693,0.0,0.0,16286.278400484303,20327.421559034836,0.0,8092.563369132018,0.2557468123405294,66580.1167454736,0.0,0.0,4.690150708066485e-10,2.9644162477311506e-17,0.0,115822.23914218596,1.4658968161645553e-13,1.2852950083268444e-13,1.102028757356161e-09,3.3116470054452822,251327.4435314806,553990.8693011765,0.0,1.3793467106222636e-11,8.138128738068807e-05,0.0,0.0,9.268760135004081e-08,4.867593309418584e-18,1536.0680260587405,220.31835341263957,1.1250781598750234e-13,2.3192951856459973e-11,0.03537374826811936,591.5378769975355,9.647259219974195e-13,63.10937240262412,5.624428911190161e-14,0.18172912848906883,0.0,0.0
39173100000P,7.799414870875053e-05,24.404176245540267,6439.760457913872,118560.76504728246,26.37919262852894,0.0,0.0,25.606220999520144,0.0,0.0,5.588579991513661e-11,0.0,0.0,1974.8568225808785,37.94816549739032,0.0,1.1695472976483208e-06,2.485805646509231e-07,24968.94186590217,0.0,0.0,0.0,0.0,0.0,0.13083477079769298,8.787814862805615e-08,1.390396954306256e-14,0.030976222231065574,0.0008192853550697529,194901.88029066238,115039.09327228782,0.0,2.0795554293757904e-09,0.0003024692430586365,0.0,0.0,1767.4098301835122,0.0,60.505545455687745,4.510354876179104e-14,9.118055143247079e-05,2.6476748080318607e-10,2.9466929191504336,20316.696199939845,0.0,0.0,0.0,0.0,0.3931160704904813,0.0
39173290920V,401.40663686221086,0.0,15.384868569292681,42570.3223744284,298.74112213346257,0.0,2.389808953536898e-07,0.0,0.0,4597.453996129199,108.64195511499621,2.3109865355529096e-08,4.1994359864785367e-13,6189.640728734402,523.2907658308677,0.0,0.0,230.69927396040103,255.29373900313382,4.6611044901280005e-16,0.08879900319546855,2.8655593602192656e-10,6265.312305657642,0.016525038463165352,6402.430459076618,41.82981028516452,1.0484403173198628e-14,0.0,12.888277004097201,6.88005597301146e-24,10957.389226744204,0.0,5.0266181946642466e-17,2503.2597757589565,0.0,0.43057188936351215,268.6074658886807,0.0,3.0888599314955785e-17,3084.2946586275466,4.829333812840636e-05,1.701568589554226e-14,0.0001787626825090498,92.70643690714373,0.0,0.0,0.0,3.4168016448479835e-08,0.0,0.0
39173290990T,632.927347110537,599.9848821567136,81466.53028322416,286121.556249197,12659.393298802335,0.0,0.0,0.0,0.0,0.0,16.842889384929855,4.3433525093264016e-13,1.1228158025467696e-18,184911.2510116108,10901.68111073615,2.3989238973744802e-11,6.298974174549977e-09,158855.35869578467,259350.9545347824,4.2929499279389974e-10,9.302156314461342e-15,1398.5549496567714,6209.937402801221,4975.029161054118,61933.484380773865,0.0011312211400330136,2823.1456654363683,8.3665661324136605e-22,5834.227988583278,32419.90568519066,397282.7629431801,5.585021402130915e-21,0.0,73.16068565388223,0.0,0.0,13142.815964078069,2.9406929086857816e-13,1.0190170233913132e-08,8.513297027104091e-07,6.028185427311815e-12,0.0002100424018162467,38287.33942487593,112694.07492295094,145.52982799437382,62698.449283058064,6.978708251815221e-05,3.640849606297402e-09,1.525468862551516e-10,0.0
39173300200Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1484.65,0.0,0.0,0.0,0.0,0.0,0.0
39173300300E,1.5441855782710941e-06,2.1046583822848025e-19,2.95873681710814e-14,1454858.119857193,2.2986631619032e-06,0.01511291700278744,0.0,0.0,3.0903279276580516e-16,0.0,1.1172532824209763e-19,0.0,0.0,61053.764740716884,0.0011738639737504167,5068.697123312827,0.0,1.2409752987009418e-06,16200.743151267325,1.8065469458295493e-12,1.654144415378675e-10,0.0,5.392865975038691e-09,28.569116203975884,2.885285495464181e-11,3.745731200221524e-16,1.991850095256169e-14,7.285561275398779e-08,0.0,2270.7807919249863,164488.78518712524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05076184934124765,0.0010698077034179217,7.925573687317868e-11,2.8810836015844153e-15,3.745731200221524e-16,148.24190865545438,0.0,0.0,0.0,1.3547771378867447e-16,0.0,0.0
