HS,HS4,HS4Desc,HS6,HS6Desc,BEC5Code1,BEC5Code2,BEC5Category,BEC5EndUse,BEC5Processing,BEC5Specification,BEC5Durability,i3,i31Desc,standesci3,i4,i4Desc,standesci4,GTAP,GTAPcode,GTAPdesc,CPC1,CPCdesc,BEC4Code,BEC4ENDUSE,BEC4INT,BEC4CONS,BEC4CAP,AddedByUNSD,NoteByUNSD
H5,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010512,"Poultry; live, turkeys, weighing not more than 185g",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0146,Raising of poultry,D01,10,oap,"Animal products nec,",02122,Poultry  live,111,INT,1,0,0,1,1To1 WITH H4
H5,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010513,"Poultry; live, ducks, weighing not more than 185g",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0146,Raising of poultry,D01,10,oap,"Animal products nec,",02122,Poultry  live,111,INT,1,0,0,1,1To1 WITH H4
H5,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010514,"Poultry; live, geese, weighing not more than 185g",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0146,Raising of poultry,D01,10,oap,"Animal products nec,",02122,Poultry  live,111,INT,1,0,0,1,1To1 WITH H4
H5,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010515,"Poultry; live, guinea fowls, weighing not more than 185g",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0146,Raising of poultry,D01,10,oap,"Animal products nec,",02122,Poultry  live,111,INT,1,0,0,1,1To1 WITH H4
H5,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0146,Raising of poultry,D01,10,oap,"Animal products nec,",02122,Poultry  live,111,INT,1,0,0,1,1To1 WITH H4
H5,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0146,Raising of poultry,D01,10,oap,"Animal products nec,",02122,Poultry  live,111,INT,1,0,0,1,1To1 WITH H4
H5,0106,"Animals; live, n.e.c. in chapter 01",010611,"Mammals; live, primates",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0149,Raising of other animals,D01,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
H5,0106,"Animals; live, n.e.c. in chapter 01",010612,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,0149,Raising of other animals,D01,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
H5,0106,"Animals; live, n.e.c. in chapter 01",010613,"Mammals; live, camels and other camelids (Camelidae)",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,014,Animal production,D01,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
H5,0106,"Animals; live, n.e.c. in chapter 01",010614,"Mammals; live, rabbits and hares",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,014,Animal production,D01,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
H5,0106,"Animals; live, n.e.c. in chapter 01",010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",1111,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PRIMARY,,,0122,Other animal farming; production of animal products n.e.c.,C01,014,Animal production,D01,10,oap,"Animal products nec,",02129,Other live animals,111,INT,1,0,0,1,1To1 WITH H4
