;letra;clae6;clae6_desc;vta_bk;vta_sec
69;G;464113;Venta al por mayor de mantelería, ropa de cama y artículos textiles para el hogar;0;
70;G;464114;Venta al por mayor de tapices y alfombras de materiales textiles;0;
71;G;464119;Venta al por mayor de productos textiles n.c.p.;0;
72;G;464121;Venta al por mayor de prendas de vestir de cuero;0;
73;G;464122;Venta al por mayor de medias y prendas de punto;0;
74;G;464129;Venta al por mayor de prendas y accesorios de vestir n.c.p., excepto uniformes y ropa de trabajo;0;
75;G;464130;Venta al por mayor de calzado excepto el ortopédico (Incluye venta de calzado de cuero, tela, plástico, goma, etc.);0;
76;G;464141;Venta al por mayor de pieles y cueros curtidos y salados;0;
77;G;464142;Venta al por mayor de suelas y afines (Incluye talabarterías, artículos regionales de cuero, almacenes de suelas, etc.);0;
78;G;464149;Venta al por mayor de artículos de marroquinería,  paraguas y productos similares n.c.p.;0;
79;G;464150;Venta al por mayor de uniformes y ropa de trabajo;1;1
80;G;464211;Venta al por mayor de libros y publicaciones;0;
81;G;464212;Venta al por mayor de diarios y revistas;0;
82;G;464221;Venta al por mayor de papel y productos de papel y cartón excepto envases;0;
83;G;464222;Venta al por mayor de envases de papel y cartón;0;
84;G;464223;Venta al por mayor de artículos de librería y papelería;1;1
85;G;464310;Venta al por mayor de productos farmacéuticos (Incluye venta de medicamentos y kits de diagnóstico como test de embarazo, hemoglucotest, vacunas, etc.);0;
86;G;464320;Venta al por mayor de productos cosméticos, de tocador y de perfumería (Incluye venta de artículos para peluquería excepto equipamiento);0;
87;G;464330;Venta al por mayor de instrumental médico y odontológico y artículos ortopédicos (Incluye venta de vaporizadores, nebulizadores, masajeadores, termómetros, prótesis, muletas, plantillas, calzado ortopédico y otros artículos similares de uso personal o doméstico);1;1
88;G;464340;Venta al por mayor de productos veterinarios;0;
89;G;464410;Venta al por mayor de artículos de óptica y de fotografía (Incluye venta de lentes de contacto, líquidos oftalmológicos, armazones, cristales ópticos, películas fotográficas, cámaras y accesorios para fotografía, etc.);1;1
90;G;464420;Venta al por mayor de artículos de relojería, joyería y fantasías;0;
91;G;464501;Venta al por mayor de electrodomésticos y artefactos para el hogar excepto equipos de audio y video;1;1
92;G;464502;Venta al por mayor de equipos de audio, video y televisión;1;1
93;G;464610;Venta al por mayor de muebles excepto de oficina, artículos de mimbre y corcho, colchones y somieres;1;1
94;G;464620;Venta al por mayor de artículos de iluminación ;1;1
95;G;464631;Venta al por mayor de artículos de vidrio;1;1
96;G;464632;Venta al por mayor de artículos de bazar y menaje excepto de vidrio;1;1
97;G;464910;Venta al por mayor de CD's y DVD's de audio y video grabados.;1;1
98;G;464920;Venta al por mayor de materiales y productos de limpieza;0;
99;G;464930;Venta al por mayor de juguetes (Incluye artículos de cotillón);1;0
100;G;464940;Venta al por mayor de bicicletas y rodados similares (Incluye cochecitos y sillas de paseo para bebés, andadores, triciclos, etc.);1;0
101;G;464950;Venta al por mayor de artículos de esparcimiento y deportes (Incluye embarcaciones deportivas, armas y municiones, equipos de pesca, piletas de natación de lona o plástico, etc.);1;0
102;G;464991;Venta al por mayor de flores y plantas naturales y artificiales;1;0
103;G;464999;Venta al por mayor de artículos de uso doméstico o personal n.c.p (Incluye artículos de platería excepto los incluidos en talabartería, cuadros y marcos que no sean obra de arte o de colección, sahumerios y artículos de santería, parrillas y hogares, etc.);1;0
104;G;465100;Venta al por mayor de equipos, periféricos, accesorios y programas informáticos;1;1
105;G;465210;Venta al por mayor de equipos de telefonía y comunicaciones;1;1
106;G;465220;Venta al por mayor de componentes electrónicos;0;
107;G;465310;Venta al por mayor de máquinas, equipos e implementos de uso en los sectores agropecuario, jardinería, silvicultura, pesca y caza (Incluye venta de tractores, cosechadoras, enfardadoras, remolques de carga y descarga automática, motosierras, cortadoras de césped autopropulsadas, etc.);1;1
108;G;465320;Venta al por mayor de máquinas, equipos e implementos de uso en la elaboración de alimentos, bebidas y tabaco (Incluye máquinas para moler, picar y cocer alimentos, fabricadora de pastas, bateas, enfriadoras y envasadoras de bebidas, etc.);1;1
109;G;465330;Venta al por mayor de máquinas, equipos e implementos de uso en la fabricación de textiles, prendas y accesorios de vestir, calzado, artículos de cuero y marroquinería (Incluye venta de máquinas de coser, de cortar tejidos, de tejer, extender telas, robots de corte y otros equipos para la industria textil y confeccionista, etc.);1;1
110;G;465340;Venta al por mayor de máquinas, equipos e implementos de uso en imprentas, artes gráficas y actividades conexas (Incluye venta de máquinas fotocopiadoras - excepto las de uso personal-, copiadoras de planos, máquinas para imprimir, guillotinar, troquelar, encuadernar, etc.);1;1
111;G;465350;Venta al por mayor de máquinas, equipos e implementos de uso médico y paramédico (Incluye venta de equipos de diagnóstico y tratamiento, camillas, cajas de cirugía, jeringas y otros implementos de material descartable, etc.);1;1
112;G;465360;Venta al por mayor de máquinas, equipos e implementos de uso en la industria del plástico y del caucho (Incluye sopladora de envases, laminadora de plásticos, máquinas extrusoras y moldeadoras, etc.);1;1
113;G;465390;Venta al por mayor de máquinas, equipos e implementos de uso especial n.c.p.  (Incluye motoniveladoras, excavadoras, palas mecánicas, perforadoras-percutoras, etc.);1;1
114;G;465400;Venta al por mayor de máquinas - herramienta de uso general;1;1
115;G;465500;Venta  al  por  mayor  de  vehículos,  equipos  y  máquinas  para  el transporte ferroviario, aéreo y de navegación;1;1
116;G;465610;Venta al por mayor de muebles e instalaciones para oficinas;1;1
117;G;465690;Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios n.c.p.;1;1
118;G;465910;Venta al por mayor de máquinas y equipo de control y seguridad;1;1
119;G;465920;Venta al por mayor de maquinaria y equipo de oficina, excepto equipo informático;1;1
120;G;465930;Venta al por mayor de equipo profesional y científico e instrumentos de medida y de control n.c.p.;1;1
121;G;465990;Venta al por mayor de máquinas, equipo y materiales conexos n.c.p.;1;1
122;G;466110;Venta al por mayor de combustibles y lubricantes para automotores;0;
123;G;466121;Fraccionamiento y distribución de gas licuado;0;
124;G;466129;Venta al por mayor de combustibles, lubricantes, leña y carbón, excepto gas licuado y combustibles y lubricantes para automotores;0;
125;G;466200;Venta al por mayor de metales y minerales metalíferos;0;
126;G;466310;Venta al por mayor de aberturas (Incluye puertas, ventanas, cortinas de enrollar, madera, aluminio, puertas corredizas, frentes de placard, etc.);1;0
127;G;466320;Venta al por mayor de productos de madera excepto muebles (Incluye placas, varillas, parqué, machimbre, etc.);0;
