Posición arancelaria,Descripción,"CIIU 4dig
Rev. 3",Descripción.1,Utilización,Demanda
,,,,,
,,,,,
840310.0,Calderas para calefaccion central,2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
730900.0,"Depositos, cisternas, cubas y analogos, con capacidad superior a 300 l",2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
731100.0,"Recipientes para gases comprimidos o licuados, de fundicion, de hierro",2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
761300.0,"Recipientes para gases comprimidos o licuados, de aluminio.",2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
732219.0,Radiadores y sus partes.,2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
761100.0,"Depositos, cisternas, cubas y recipientes similares",2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
732211.0,"Radiadores y sus partes, de fundicion hierro o acero",2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",General,"General (maquinaria industrial, construcción, agro, petróleo y gas, etc.)"
,,Total 2812,"Tanques, depósitos y recipientes de metal                                                                                                                                                                                                       ",,
840219.0,"Calderas de vapor, incluidas las calderas mixtas",2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
840410.0,Aparatos auxiliares para las calderas de partidas 84.02 u 84.03.,2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
840211.0,"Calderas acuotubulares, con una producción de vapor > 45 t/h",2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
840110.0,Reactores nucleares.,2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
840212.0,Calderas acuotubulares con una produccion vapor inferior o igual a 45,2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
840220.0,Calderas denominadas de agua sobrecalentada.,2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
840420.0,Condensadores para maquinas de vapor.,2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",General,"General (maquinaria industrial, construcción, petróleo y gas, etc.)"
,,Total 2813,"Generadores de vapor, excepto calderas de agua caliente para calefacción central                                                                                                                                                                ",,
840890.0,Motores de embolo de encendido por compresion,2911,"Motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicle                                                                                                                                                           ",General,"General (maquinaria industrial, construcción, etc.)"
840790.0,Motores de explosion.,2911,"Motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicle                                                                                                                                                           ",General,"General (maquinaria industrial, construcción, etc.)"
840610.0,Turbinas para la propulsion de barcos,2911,"Motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicle                                                                                                                                                           ",General,"General (maquinaria industrial, construcción, etc.)"
840681.0,Turbinas de potencia superior a 40 mw,2911,"Motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicle                                                                                                                                                           ",General,"General (maquinaria industrial, construcción, etc.)"
840682.0,Turbinas de potencia inferior o igual a 40 mw,2911,"Motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicle                                                                                                                                                           ",General,"General (maquinaria industrial, construcción, etc.)"
841011.0,"Turbinas y ruedas hidraulicas, de potencia inferior o igual a 1000 kw.",2911,"Motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicle                                                                                                                                                           ",General,"General (maquinaria industrial, construcción, etc.)"
841012.0,"Turbinas hidráulicas y ruedas hidráulicas, de potencia > 1.000 kW pero <= 10.000 kW (exc. motores hidráulicos de la partida 8412)",2911,"Motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicle                                                                                                                                                           ",General,"General (maquinaria industrial, construcción, etc.)"
841013.0,Turbinas y ruedas hidraulicas potencia superior a 10000 kw.,2911,"Motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicle                                                                                                                                                           ",General,"General (maquinaria industrial, construcción, etc.)"
,,Total 2911,"Motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicle                                                                                                                                                           ",,
841350.0,Bombas volumetricas alternativas.,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841430.0,Compresores del tipo de los utilizados en los equipos frigorificos.,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841480.0,Bombas y compresores de aire,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841370.0,Bombas centrifugas,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841330.0,"Bombas de carburante, aceite o refrigerante, para motores de encendido por chispa o compresión",2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841360.0,Bombas volumetricas rotativas,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841221.0,Motores hidraulicos con movimiento rectilineo (embolo),2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841229.0,Motores hidraulicos.,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841381.0,Bombas para liquidos,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841410.0,Bombas de vacio.,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841340.0,Bombas para hormigon.,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841231.0,Motores neumaticos con movimiento rectilineo (embolo).,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841320.0,"Bombas manuales, excepto las de las subpartidas 8413.11 u 8413.19.",2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841239.0,Motores neumaticos.,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841319.0,Bombas para liquidos con dispositivo medidor,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841440.0,"Compresores de aire montados en chasis remolcable, de ruedas.",2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841311.0,Bombas con dispositivo medidor incorporado p/distribución de carburantes o de lubricantes,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841420.0,"Bombas de aire, de mano o de pedal.",2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841382.0,Elevadores de liquidos.,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
841280.0,Motores y maquinas motrices.,2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",General,"General (maquinaria industrial,construcción, vehículos, etc.)"
,,Total 2912,"Bombas, compresores, grifos y válvulas                                                                                                                                                                                                          ",,
841780.0,"Hornos industriales o de laboratorio, que no sean electrico,",2914,"Hornos, hogares y quemadores                                                                                                                                                                                                                    ",General,"General (maquinaria industrial, construcción, etc.)"
851410.0,"Hornos eléctricos industriales o de laboratorio, de resistencia ""de calentamiento indirecto"" (exc. hornos de secado)",2914,"Hornos, hogares y quemadores                                                                                                                                                                                                                    ",General,"General (maquinaria industrial, construcción, etc.)"
841620.0,"Quemadores para la alimentación de hogares, de combustibles sólidos pulverizados o gases, incl. los quemadores mixtos",2914,"Hornos, hogares y quemadores                                                                                                                                                                                                                    ",General,"General (maquinaria industrial, construcción, etc.)"
851440.0,Aparatos para el tratamiento termico de materias por inducción,2914,"Hornos, hogares y quemadores                                                                                                                                                                                                                    ",General,"General (maquinaria industrial, construcción, etc.)"
851420.0,Hornos que funcionen por inducción o pérdidas dieléctricas,2914,"Hornos, hogares y quemadores                                                                                                                                                                                                                    ",General,"General (maquinaria industrial, construcción, etc.)"
851430.0,Hornos electricos industriales o de laboratorio.,2914,"Hornos, hogares y quemadores                                                                                                                                                                                                                    ",General,"General (maquinaria industrial, construcción, etc.)"
841610.0,"Quemadores de combustibles liquidos, para alimentacion de hogares.",2914,"Hornos, hogares y quemadores                                                                                                                                                                                                                    ",General,"General (maquinaria industrial, construcción, etc.)"
841630.0,"Alimentadores mecánicos de hogares, parrillas mecánicas, etc.",2914,"Hornos, hogares y quemadores                                                                                                                                                                                                                    ",General,"General (maquinaria industrial, construcción, etc.)"
841710.0,"Hornos industriales o de laboratorio, que no sean eléctricos, para tostación, fusión u otros tratamientos térmicos",2914,"Hornos, hogares y quemadores                                                                                                                                                                                                                    ",General,"General (maquinaria industrial, construcción, etc.)"
,,Total 2914,"Hornos, hogares y quemadores                                                                                                                                                                                                                    ",,
842720.0,Carretillas autopropulsadas.,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842710.0,Carretillas autopropulsadas con motor electrico.,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842890.0,"Maquinas y aparatos de elevacion, carga, descarga o manipula",2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842839.0,Transportadores de rodillo,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842691.0,Grúas concebidas para montarlas en un vehículo de carretera,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842833.0,"Aparatos elevadores o transportadores de mercancia, de banda o correa",2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842630.0,Gruas sobre porticos.,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842641.0,"Maquinas y aparatos, autopropulsados sobre neumaticos",2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842810.0,Ascensores y montacargas.,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842820.0,Aparatos elevadores o transportadores neumaticos,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842549.0,Gatos.,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842511.0,Polipastos con motor electrico.,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842832.0,"Aparatos elevadores o transportadores, de acción continua, para mercancías, de cuchara",2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
870911.0,Carretillas eléctricas s/dispositivo de elevación p/transporte de mercancías a corta distancia ,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842620.0,Gruas de torre.,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842790.0,"Carretillas, excepto autopropulsadas",2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842541.0,"Elevadores fijos para vehiculos, del tipo utilizado o garages, gatos.",2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842531.0,Tornos con motor electrico; cabrestantes con motor electrico,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842542.0,Gatos hidraulicos.,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842649.0,"Maquinas y aparatos autopropulsados, excepto sobre neumatico",2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842699.0,Maquinas y aparatos de descarga y de manipulacion,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842840.0,Escaleras mecanicas y pasillos moviles,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842539.0,Hilador y ordenador de red,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842519.0,Polipastos.,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842611.0,"Puentes rodantes, con soporte fijo.",2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842619.0,Puentes rodantes y gruas de portico.,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
870919.0,Carretillas automoviles tipo utilizadas en fabricas puertos,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842612.0,Porticos moviles sobre neumaticos y carretillas puente.,2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
842860.0,"Teleféricos, incl. las telesillas y los telesquís; mecanismos de tracción para funiculares",2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,General,"General (transporte, construcción, maquinaria industrial, etc.)"
,,Total 2915,Equipo de elevación y manipulación                                                                                                                                                                                                              ,,
842139.0,Aparatos para filtrar o depurar gases.,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842230.0,"Maquinas y aparatos para llenar, cerrar, capsular o etiquetar botellas",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842123.0,Aparatos para filtrar el aceite en los motores de encendido por chispa,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
841950.0,Intercambiadores de calor.,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842129.0,Aparatos para filtrar el aceite de los motores de embolo,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842119.0,Centrifugadoras y secadoras centrifugas.,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
841459.0,Ventiladores,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
841581.0,"Máquinas y aparatos p/acondicionamiento de aire, c/equipo de enfriamiento y válvula de inversión del ciclo térmico ""bombas de calor reversibles"" ",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
841989.0,Aparatos y dispositivos para la preparacion de bebidas,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842240.0,Maquinas para empaquetar o embalar mercancias,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
841869.0,"Materiales, maquinas y aparatos para la produccion de frio",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842430.0,"Maquinas y aparatos de chorro de arena, de chorro de vapor y aparatos",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842489.0,"Aparatos mecánicos p/proyectar, dispersar o pulverizar materias líquidas o en polvo, n.c.o.p.",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842131.0,Filtros de entrada de aire para motores de encendido por chispa o compresión,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
841850.0,"Armarios, arcones ""cofres"", vitrinas, mostradores y muebles p/producción de frío, c/grupo frigorífico o evaporador incorporado",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
841940.0,Aparatos de destilacion o de rectificacion.,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
847621.0,"Máquinas automáticas p/venta de bebidas, c/dispositivo de calentamiento o refrigeración incorporado",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842330.0,Básculas y balanzas p/pesada constante,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842121.0,Aparatos para filtrar o depurar liquidos,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842410.0,"Extintores, incluso cargados.",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842420.0,Pistolas aerograficas y aparatos similares.,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842010.0,"Calandrias y laminadores, excepto los de metales o de vidrios.",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842122.0,Aparatos para filtrar o depurar bebidas,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
847681.0,"Máquinas automáticas p/venta de productos, c/dispositivo de calentamiento o refrigeración incorporado",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842320.0,Basculas de pesada continua sobre transportadores.,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842220.0,Maquinas y aparatos para limpiar o secar botellas y demas recipientes,2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
841582.0,"Acondicionadores de aire, con equipo de enfriamiento",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
841861.0,Bombas de calor (exc. máquinas de la partida 8415),2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842381.0,"Instrumentos e aparatos de pesar, con capacidad <= 30 kg",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842219.0,"Lavavajillas, excepto domesticos.",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
840510.0,"Generadores de gas pobre ""gas de aire"" o de gas de agua, generadores de acetileno, etc.",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
841583.0,"Acondicionadores de aire, sin equipo de enfriamiento.",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
842382.0,"Instrumentos e aparatos de pesar, con capacidad > 30 kg pero <= 5.000 kg",2919,Otros tipos de maquinaria de uso general                                                                                                                                                                                                        ,General,"General (construcción, maquinaria industrial, agro, etc.)"
