,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_silent,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,425.03818209171294,4.085428059392118,0.3844241380691528,0.07075567405257638,0.37516557872851514,0.9507635921035062,0.7419939418114051,9,92,20.994983163600576,46.92488919658672,False,0.3343749025278828,"{'colsample_bylevel': 0.37516557872851514, 'colsample_bytree': 0.9507635921035062, 'learning_rate': 0.7419939418114051, 'max_depth': 9, 'n_estimators': 92, 'reg_alpha': 20.994983163600576, 'reg_lambda': 46.92488919658672, 'silent': False, 'subsample': 0.3343749025278828}",0.9844369046874253,0.9844707546721364,0.9848692861701441,0.984425070331236,0.9832907457310334,0.984915003311623,0.9829292997663484,0.9831215061623804,0.9837039860768497,0.9837500539963294,0.9839912610905506,0.0006896807633104775,1
1,192.52468745708467,4.333708194114891,0.35232367515563967,0.05304904814834486,0.14372395110401884,0.6512375844759041,0.06641157902710025,15,39,43.46782213565523,19.182496720710063,False,0.18422110534358038,"{'colsample_bylevel': 0.14372395110401884, 'colsample_bytree': 0.6512375844759041, 'learning_rate': 0.06641157902710025, 'max_depth': 15, 'n_estimators': 39, 'reg_alpha': 43.46782213565523, 'reg_lambda': 19.182496720710063, 'silent': False, 'subsample': 0.18422110534358038}",0.838986745947218,0.8410676625551267,0.8416000904811962,0.8419970441725173,0.8342067519687805,0.8353199199547128,0.8350310883932266,0.8353869522929682,0.8392023917000799,0.8371972634944125,0.8379995910960238,0.002804021734146981,7
2,48.230216360092165,0.8931817610387797,0.2812941312789917,0.07165948644375585,0.3049380007165782,0.5252316752006057,0.4419450186421158,1,68,80.9721943430511,5.666566321361543,False,0.9737817633226177,"{'colsample_bylevel': 0.3049380007165782, 'colsample_bytree': 0.5252316752006057, 'learning_rate': 0.4419450186421158, 'max_depth': 1, 'n_estimators': 68, 'reg_alpha': 80.9721943430511, 'reg_lambda': 5.666566321361543, 'silent': False, 'subsample': 0.9737817633226177}",0.7761522784401882,0.7746280785611614,0.7799803059081967,0.7775389868105005,0.7831448386054962,0.7827696927495835,0.7837463538941332,0.7844634138640003,0.7839513538543565,0.7836650358250709,0.7810040338512687,0.003467026949169042,9
3,203.09367482662202,7.275651610707047,0.3181659698486328,0.03697380901120483,0.23353856908987392,0.09151582809828798,0.6283860093330873,13,73,94.35257864959598,86.99404067363206,False,0.6806272310491919,"{'colsample_bylevel': 0.23353856908987392, 'colsample_bytree': 0.09151582809828798, 'learning_rate': 0.6283860093330873, 'max_depth': 13, 'n_estimators': 73, 'reg_alpha': 94.35257864959598, 'reg_lambda': 86.99404067363206, 'silent': False, 'subsample': 0.6806272310491919}",0.9410210620616253,0.9399277284494253,0.9412083388348516,0.9391428215949706,0.9420338702758912,0.9436118257761428,0.9417778261405456,0.9424248498835457,0.942045802835439,0.9430566980208097,0.9416250823873247,0.0012878233312321082,5
4,21.949511337280274,0.8497437278448107,0.2522632122039795,0.02214463455408143,0.45104875271757344,0.014251696198706663,0.9522017556848528,3,18,4.193250444042839,24.0893825622149,False,0.2417844405599857,"{'colsample_bylevel': 0.45104875271757344, 'colsample_bytree': 0.014251696198706663, 'learning_rate': 0.9522017556848528, 'max_depth': 3, 'n_estimators': 18, 'reg_alpha': 4.193250444042839, 'reg_lambda': 24.0893825622149, 'silent': False, 'subsample': 0.2417844405599857}",0.6882608992896737,0.6868098911089797,0.6916252525412387,0.6880287368565114,0.8268495696835774,0.8270777583941206,0.8266708513778149,0.8337897966265007,0.8362274995113783,0.8363086834263282,0.7741648938816124,0.06988826169511606,10
5,241.33628447055816,2.7888234698351724,0.3041279077529907,0.030762924398737398,0.6835802553066328,0.6103866611248383,0.8431949117361643,5,87,79.21212151464816,19.223608778806234,False,0.7556060489073348,"{'colsample_bylevel': 0.6835802553066328, 'colsample_bytree': 0.6103866611248383, 'learning_rate': 0.8431949117361643, 'max_depth': 5, 'n_estimators': 87, 'reg_alpha': 79.21212151464816, 'reg_lambda': 19.223608778806234, 'silent': False, 'subsample': 0.7556060489073348}",0.9708042333217156,0.9721213431118144,0.9698585555987578,0.9700634463186653,0.9730827700428246,0.97339513310047,0.9704390276041713,0.9728737826732113,0.972560687020453,0.9712844540651306,0.9716483432857214,0.001252568408153103,3
6,131.0093086719513,3.932220680052421,0.27030484676361083,0.028485642347196753,0.42573071861675343,0.20873372120532063,0.5777003278199915,3,99,90.95082667395313,40.51502360018144,False,0.9267322069280004,"{'colsample_bylevel': 0.42573071861675343, 'colsample_bytree': 0.20873372120532063, 'learning_rate': 0.5777003278199915, 'max_depth': 3, 'n_estimators': 99, 'reg_alpha': 90.95082667395313, 'reg_lambda': 40.51502360018144, 'silent': False, 'subsample': 0.9267322069280004}",0.873585924803658,0.8713785042101034,0.8703412839108758,0.8728974767414921,0.8729145606786628,0.8758260414370094,0.8732886113707105,0.8749890971046228,0.8740013086684618,0.8732587928505952,0.8732481601776192,0.001501306453760844,6
7,400.02362141609194,3.670343416556664,0.35693490505218506,0.022424380203137133,0.7275447238605645,0.32721422803702954,0.5804439744053994,17,71,66.06606615265287,39.8677289689482,False,0.272077682742122,"{'colsample_bylevel': 0.7275447238605645, 'colsample_bytree': 0.32721422803702954, 'learning_rate': 0.5804439744053994, 'max_depth': 17, 'n_estimators': 71, 'reg_alpha': 66.06606615265287, 'reg_lambda': 39.8677289689482, 'silent': False, 'subsample': 0.272077682742122}",0.957115192322166,0.9550513655944557,0.9546944755486504,0.9582528337684247,0.9678910694393575,0.9679981629157309,0.9669581627362982,0.9652305422654319,0.9673991020015281,0.9672952389623635,0.9627886145554406,0.005442701313685263,4
8,294.79546241760255,58.65048800268626,0.30629088878631594,0.05732910638560393,0.8289087716427774,0.3573965733668957,0.29093450968738077,17,38,161.43939615080794,8.455064367977082,False,0.9869000496639168,"{'colsample_bylevel': 0.8289087716427774, 'colsample_bytree': 0.3573965733668957, 'learning_rate': 0.29093450968738077, 'max_depth': 17, 'n_estimators': 38, 'reg_alpha': 161.43939615080794, 'reg_lambda': 8.455064367977082, 'silent': False, 'subsample': 0.9869000496639168}",0.9721626485502788,0.9740719432327709,0.9735347769102181,0.9724552174781982,0.9752154734705153,0.9752888981829512,0.9747557787812702,0.9747522829942454,0.9752219622197766,0.9762072280119114,0.9743666209832137,0.0012361442069782121,2
9,136.51210689544678,1.1487038402812881,0.26012539863586426,0.030180461051902422,0.7724725245273608,0.19951696585263823,0.0155221171236024,5,90,143.26839054973,80.01755405312056,False,0.6063540148062304,"{'colsample_bylevel': 0.7724725245273608, 'colsample_bytree': 0.19951696585263823, 'learning_rate': 0.0155221171236024, 'max_depth': 5, 'n_estimators': 90, 'reg_alpha': 143.26839054973, 'reg_lambda': 80.01755405312056, 'silent': False, 'subsample': 0.6063540148062304}",0.7873544988671908,0.7900770913921901,0.7903777714001676,0.786440586568122,0.7939426787576309,0.7937659894582483,0.7950344090229224,0.7954715541939683,0.7940291306473564,0.7952480203594636,0.792174173066726,0.003183279011576445,8
