,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_grow_policy,param_learning_rate,param_max_bin,param_max_depth,param_max_leaves,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_silent,param_subsample,param_tree_method,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,172.01729278564454,4.558579414144955,0.9501767158508301,0.106158854176229,0.37516557872851514,0.9507635921035062,lossguide,0.7329939418114051,105,13,820,45,124,92.84977839317344,34.37086111390219,False,0.14372395110401884,hist,"{'colsample_bylevel': 0.37516557872851514, 'colsample_bytree': 0.9507635921035062, 'grow_policy': 'lossguide', 'learning_rate': 0.7329939418114051, 'max_bin': 105, 'max_depth': 13, 'max_leaves': 820, 'min_child_weight': 45, 'n_estimators': 124, 'reg_alpha': 92.84977839317344, 'reg_lambda': 34.37086111390219, 'silent': False, 'subsample': 0.14372395110401884, 'tree_method': 'hist'}",0.926884939670005,0.9278383147806137,0.9261616396200375,0.9251913090749497,0.9265979726879391,0.926534835166709,0.0008683266538548508,24
1,28.4569073677063,3.5656694881722,0.6153499126434326,0.10865208496011557,0.6512375844759041,0.057355167448073154,lossguide,0.7229987722668247,30,3,630,41,107,105.95128632644757,44.194501864211574,False,0.2919379110578439,hist,"{'colsample_bylevel': 0.6512375844759041, 'colsample_bytree': 0.057355167448073154, 'grow_policy': 'lossguide', 'learning_rate': 0.7229987722668247, 'max_bin': 30, 'max_depth': 3, 'max_leaves': 630, 'min_child_weight': 41, 'n_estimators': 107, 'reg_alpha': 105.95128632644757, 'reg_lambda': 44.194501864211574, 'silent': False, 'subsample': 0.2919379110578439, 'tree_method': 'hist'}",0.8345009778715942,0.8346020604191637,0.8327763719392838,0.8310642705715277,0.832813521396057,0.8331514404395252,0.0013066516998474001,122
2,45.258891105651855,2.281513423995982,0.5985770702362061,0.04852033488939907,0.612241041827657,0.1403543667913898,lossguide,0.29314464853521816,80,5,540,39,113,94.35257864959598,86.99404067363206,False,0.6806272310491919,hist,"{'colsample_bylevel': 0.612241041827657, 'colsample_bytree': 0.1403543667913898, 'grow_policy': 'lossguide', 'learning_rate': 0.29314464853521816, 'max_bin': 80, 'max_depth': 5, 'max_leaves': 540, 'min_child_weight': 39, 'n_estimators': 113, 'reg_alpha': 94.35257864959598, 'reg_lambda': 86.99404067363206, 'silent': False, 'subsample': 0.6806272310491919, 'tree_method': 'hist'}",0.8639143522653233,0.8697130940442014,0.8662443904461312,0.8638657182429923,0.8710411137210194,0.8669557337439336,0.002952882380471202,85
3,65.23119449615479,12.541241807085553,0.5953474521636963,0.03219859106396672,0.45104875271757344,0.014251696198706663,lossguide,0.9432017556848528,70,3,80,41,179,137.84660530243139,45.01524937396013,False,0.12291619660993405,hist,"{'colsample_bylevel': 0.45104875271757344, 'colsample_bytree': 0.014251696198706663, 'grow_policy': 'lossguide', 'learning_rate': 0.9432017556848528, 'max_bin': 70, 'max_depth': 3, 'max_leaves': 80, 'min_child_weight': 41, 'n_estimators': 179, 'reg_alpha': 137.84660530243139, 'reg_lambda': 45.01524937396013, 'silent': False, 'subsample': 0.12291619660993405, 'tree_method': 'hist'}",0.8535796437859584,0.8555065893067939,0.8529433487364305,0.851919461116794,0.8539298431001432,0.8535757772092241,0.0011829422414381008,94
4,76.3360221862793,2.920730928225434,0.6635316848754883,0.06005731183810791,0.49568173320115894,0.03535413259410318,lossguide,0.9103204020787821,20,3,30,3,183,42.588332573637764,57.77003278199915,False,0.032281979163103026,hist,"{'colsample_bylevel': 0.49568173320115894, 'colsample_bytree': 0.03535413259410318, 'grow_policy': 'lossguide', 'learning_rate': 0.9103204020787821, 'max_bin': 20, 'max_depth': 3, 'max_leaves': 30, 'min_child_weight': 3, 'n_estimators': 183, 'reg_alpha': 42.588332573637764, 'reg_lambda': 57.77003278199915, 'silent': False, 'subsample': 0.032281979163103026, 'tree_method': 'hist'}",0.8199163660581991,0.8189756936032496,0.818130488245201,0.8155350042319266,0.820532206346726,0.8186179516970604,0.001744730103947022,129
5,78.66051030158997,12.495742710632562,0.8388988018035889,0.1250541899274906,0.8424424898204035,0.4503043792363959,lossguide,0.3961502360018144,20,15,770,45,89,169.9067697356303,75.73201101373809,False,0.5401524402566906,hist,"{'colsample_bylevel': 0.8424424898204035, 'colsample_bytree': 0.4503043792363959, 'grow_policy': 'lossguide', 'learning_rate': 0.3961502360018144, 'max_bin': 20, 'max_depth': 15, 'max_leaves': 770, 'min_child_weight': 45, 'n_estimators': 89, 'reg_alpha': 169.9067697356303, 'reg_lambda': 75.73201101373809, 'silent': False, 'subsample': 0.5401524402566906, 'tree_method': 'hist'}",0.8796560576840904,0.8804976405818875,0.8784811567245061,0.8774808500460252,0.8803543187697821,0.8792940047612582,0.0011534590808978755,68
6,271.91516733169556,87.63781599817233,0.9703343391418457,0.0875881079709623,0.5871644144981844,0.9652900519568739,lossguide,0.6080342476866847,65,17,280,29,94,15.910128735954164,99.68869366005173,False,0.7724725245273608,hist,"{'colsample_bylevel': 0.5871644144981844, 'colsample_bytree': 0.9652900519568739, 'grow_policy': 'lossguide', 'learning_rate': 0.6080342476866847, 'max_bin': 65, 'max_depth': 17, 'max_leaves': 280, 'min_child_weight': 29, 'n_estimators': 94, 'reg_alpha': 15.910128735954164, 'reg_lambda': 99.68869366005173, 'silent': False, 'subsample': 0.7724725245273608, 'tree_method': 'hist'}",0.9496238907531893,0.9480100100521304,0.9480827335937978,0.9494727302868984,0.9497430586644793,0.948986484670099,0.0007727087693358007,5
7,23.182843112945555,2.280495903601659,0.5735208511352539,0.07315572125407817,0.19951696585263823,0.006516595006478797,lossguide,0.8164614284548342,85,15,340,5,82,122.19199495620228,93.63008785133489,False,0.6514259484764425,hist,"{'colsample_bylevel': 0.19951696585263823, 'colsample_bytree': 0.006516595006478797, 'grow_policy': 'lossguide', 'learning_rate': 0.8164614284548342, 'max_bin': 85, 'max_depth': 15, 'max_leaves': 340, 'min_child_weight': 5, 'n_estimators': 82, 'reg_alpha': 122.19199495620228, 'reg_lambda': 93.63008785133489, 'silent': False, 'subsample': 0.6514259484764425, 'tree_method': 'hist'}",0.8696131664875157,0.8711916651263107,0.8668320912177774,0.8672330303316785,0.8691330302557412,0.8688005966838048,0.0016012662552179948,82
8,114.15483665466309,64.9594769252558,0.7439477443695068,0.10540042633211805,0.915044715868237,0.8501885392120095,lossguide,0.4504506741382034,5,13,220,47,86,146.92123566761282,64.75574713552132,False,0.8873255298337502,hist,"{'colsample_bylevel': 0.915044715868237, 'colsample_bytree': 0.8501885392120095, 'grow_policy': 'lossguide', 'learning_rate': 0.4504506741382034, 'max_bin': 5, 'max_depth': 13, 'max_leaves': 220, 'min_child_weight': 47, 'n_estimators': 86, 'reg_alpha': 146.92123566761282, 'reg_lambda': 64.75574713552132, 'silent': False, 'subsample': 0.8873255298337502, 'tree_method': 'hist'}",0.849115891698324,0.849978146531093,0.8485653949046617,0.8538971131568083,0.8498965459914813,0.8502906184564736,0.001877025044872734,100
9,45.956184244155885,7.1610375979289,0.5402915477752686,0.02166507701845636,0.4727427102367873,0.1204746516923634,lossguide,0.714244787222995,5,9,890,45,191,99.75911927287815,53.27328293819941,False,0.42811347734019106,hist,"{'colsample_bylevel': 0.4727427102367873, 'colsample_bytree': 0.1204746516923634, 'grow_policy': 'lossguide', 'learning_rate': 0.714244787222995, 'max_bin': 5, 'max_depth': 9, 'max_leaves': 890, 'min_child_weight': 45, 'n_estimators': 191, 'reg_alpha': 99.75911927287815, 'reg_lambda': 53.27328293819941, 'silent': False, 'subsample': 0.42811347734019106, 'tree_method': 'hist'}",0.7980062147815395,0.7982786389995002,0.7967130394068913,0.7947484534729921,0.7978451470790686,0.7971182987479983,0.0012994994912872274,141
