propio_letra_2,anio,coeficiente
A,2013,0.021646679513195
A,2014,0.0234195823182402
A,2015,0.0236719041118821
A,2016,0.0241508454266593
A,2017,0.0240882077676143
B,2013,0.0229338709224593
B,2014,0.0217004411945402
B,2015,0.0233380416045978
B,2016,0.0219606701272479
B,2017,0.0238164401144058
C,2013,0.00792317118942043
C,2014,0.00741404518767878
C,2015,0.00785913902666591
C,2016,0.0079502664234903
C,2017,0.00788418084112466
D_15,2013,0.00652217914529692
D_15,2014,0.00641370399583666
D_15,2015,0.00644508496638859
D_15,2016,0.0063844678696774
D_15,2017,0.00637019259851116
D_16,2013,0.0105387397194803
D_16,2014,0.00729561818342099
D_16,2015,0.00702400098675766
D_16,2016,0.00795507935042338
D_16,2017,0.00807055777169786
D_17,2013,0.00271019637291681
D_17,2014,0.00251967662878947
D_17,2015,0.00253810829701075
D_17,2016,0.00253660046034248
D_17,2017,0.00251062191928276
D_18,2013,0.00145611679528368
D_18,2014,0.00155737432637171
D_18,2015,0.00153453723282399
D_18,2016,0.00154416270662197
D_18,2017,0.00154788026376085
D_19,2013,0.00236104883419528
D_19,2014,0.00272327919948068
D_19,2015,0.00279549227864634
D_19,2016,0.00292825225894353
D_19,2017,0.0028436230223754
D_20,2013,0.00934131394993067
D_20,2014,0.00927159918901896
D_20,2015,0.00957630760204261
D_20,2016,0.00949029979944454
D_20,2017,0.00953398235164698
D_21,2013,0.0033866784602176
D_21,2014,0.00285747359966718
D_21,2015,0.00285488824632373
D_21,2016,0.00289133396598813
D_21,2017,0.0028421430171014
D_22,2013,0.00135689373820831
D_22,2014,0.0015317151271871
D_22,2015,0.00156176346781939
D_22,2016,0.00164404296722929
D_22,2017,0.00169423853787856
D_23,2013,0.00186560900207433
D_23,2014,0.00213374591130595
D_23,2015,0.00212312417091686
D_23,2016,0.00223666510103415
D_23,2017,0.00218060339515893
D_24,2013,0.0025144603245576
D_24,2014,0.00250205349724741
D_24,2015,0.00245937043382841
D_24,2016,0.00239264826018332
D_24,2017,0.00239008839359424
D_25,2013,0.00377585598198825
D_25,2014,0.00365954033013248
