propio_letra_2,anio,coeficiente
A,2013,0.097872468443416
A,2014,0.106081203455235
A,2015,0.107026088870011
A,2016,0.106979468561347
A,2017,0.10646844352362
B,2013,0.103692326427042
B,2014,0.0982941918495903
B,2015,0.105516620167954
B,2016,0.0972777879183751
B,2017,0.105267246684224
C,2013,0.035823523036669
C,2014,0.0335826158337547
C,2015,0.035532963801062
C,2016,0.0352167910431515
C,2017,0.0348476096981302
D_15,2013,0.0294891312171582
D_15,2014,0.0290514762064777
D_15,2015,0.0291397022025464
D_15,2016,0.0282808724779106
D_15,2017,0.0281558718461827
D_16,2013,0.0476494545040716
D_16,2014,0.033046189566089
D_16,2015,0.0317571138459634
D_16,2016,0.0352381105603952
D_16,2017,0.0356713846297595
D_17,2013,0.0122537781751733
D_17,2014,0.0114131125597333
D_17,2015,0.0114753677132898
D_17,2016,0.0112362182112414
D_17,2017,0.0110967993385418
D_18,2013,0.00658363076006454
D_18,2014,0.00705427366410055
D_18,2015,0.00693799355887569
D_18,2016,0.00684007962488623
D_18,2017,0.0068415385666474
D_19,2013,0.0106751558536857
D_19,2014,0.0123353495762612
D_19,2015,0.0126390595211838
D_19,2016,0.0129710933485393
D_19,2017,0.0125686443790678
D_20,2013,0.0422354594489808
D_20,2014,0.0419965816025541
D_20,2015,0.0432966754012965
D_20,2016,0.0420385792338231
D_20,2017,0.0421396341045448
D_21,2013,0.0153123983991908
D_21,2014,0.0129431957485497
D_21,2015,0.0129076022664195
D_21,2016,0.0128075587272544
D_21,2017,0.0125621028439129
D_22,2013,0.00613500742656211
D_22,2014,0.00693804790515173
D_22,2015,0.00706108959003741
D_22,2016,0.00728251288180835
D_22,2017,0.00748843342044661
D_23,2013,0.00843509315467857
D_23,2014,0.00966500303306988
D_23,2015,0.00959912963167835
D_23,2016,0.00990761356926306
D_23,2017,0.00963813711940129
D_24,2013,0.011368784695938
D_24,2014,0.0113332869259014
D_24,2015,0.01111937583775
D_24,2016,0.0105985622783247
D_24,2017,0.0105640483345537
D_25,2013,0.0170720107542944
D_25,2014,0.0165762325321689
D_25,2015,0.0165829501492758
D_25,2016,0.0163785521388542
D_25,2017,0.0165102274278779
D_26,2013,0.0224893027568716
D_26,2014,0.0244188523735734
D_26,2015,0.0250964908115533
D_26,2016,0.0245036535501162
D_26,2017,0.024642233811121
D_27,2013,0.0334508745417501
D_27,2014,0.0298845981028399
D_27,2015,0.0291409411464138
D_27,2016,0.0295971930213893
D_27,2017,0.0315295730527121
D_28,2013,0.0186658020007833
D_28,2014,0.0193554663926058
D_28,2015,0.019095033867006
D_28,2016,0.0187648973712869
D_28,2017,0.0194094459897194
D_29,2013,0.0224592417810741
D_29,2014,0.0215269529625026
D_29,2015,0.0215908426208553
D_29,2016,0.0214332782601454
D_29,2017,0.0221746570845301
D_29_30_31_32_33,2013,0.0277924123558562
D_29_30_31_32_33,2014,0.0265619800961517
D_29_30_31_32_33,2015,0.021535553181551
D_29_30_31_32_33,2016,0.0247010369680686
D_29_30_31_32_33,2017,0.0201252294380091
D_30,2013,0.00659029755568665
D_30,2014,0.00667899163539778
D_30,2015,0.00722413826202091
D_30,2016,0.00724405508851357
D_30,2017,0.00752625628057609
D_31,2013,0.0200949214396494
D_31,2014,0.0137459780377641
D_31,2015,0.0132445990906284
D_31,2016,0.0129119281329856
D_31,2017,0.0130571303288747
D_32,2013,0.0263620346141177
D_32,2014,0.0184076343662443
D_32,2015,0.0177250074636959
D_32,2016,0.0155112991911026
D_32,2017,0.0149439295043264
D_33,2013,0.0108944616149329
D_33,2014,0.0104566696130017
D_33,2015,0.0106324779471958
D_33,2016,0.0103082255112653
D_33,2017,0.0102805532564773
D_34,2013,0.0288988879726169
D_34,2014,0.0270484300021071
D_34,2015,0.0269913908128064
D_34,2016,0.0262386754191911
D_34,2017,0.0262495725433852
D_35,2013,0.0165718553723152
D_35,2014,0.0191469701218335
D_35,2015,0.0184084723737281
D_35,2016,0.0184380131486065
D_35,2017,0.0186320960672489
D_36,2013,0.0143566675344683
D_36,2014,0.0148834519110013
D_36,2015,0.0148748664091441
D_36,2016,0.0144821292145956
D_36,2017,0.0146821534179143
D_37,2013,0.0352856457978456
D_37,2014,0.0389901636099512
D_37,2015,0.0395523168527356
D_37,2016,0.0390506227046868
D_37,2017,0.0351245285570752
E,2013,0.0156913209571473
E,2014,0.020091854122848
E,2015,0.019442631969822
E,2016,0.0188546084300475
E,2017,0.018487635192276
F,2013,0.0162803274855478
F,2014,0.0159457558112932
F,2015,0.0166952425321396
F,2016,0.0155910189691807
F,2017,0.0152800294045726
G,2013,0.0143868650200738
G,2014,0.0157118511185022
G,2015,0.0156106523782075
G,2016,0.0153520027650758
